格式：id#id	标签页	获得个数	货币种类	货币价格	攻击力	附魔	类(a商店1位+标签+序号)	类等级	掉落方式(1=掉级，掉到最低级时不消失，2=不消失不掉级，3消失，4=药水效果消失，未使用的药水消失)	是否用升级的方式	队伍限购	个人限购	药水效果id#等级	药水持续时间	名称多语言	描述多语言	图片	备注
itemId	PageId	num	coinId	coinNum	attack	enchantment	class	classlevel	dropType	levelUp	Teamlimit	Personallimit	PotionLevel	continueTime	name	desc	image	
270	1	1	1	10	0	@@@	911	1	1	1	0	1	@@@	0	tile.cloth.name	tile.cloth.name	@@@	木镐
274	1	1	1	20	0	@@@	911	2	1	1	0	1	@@@	0	tile.wood.name	tile.wood.name	@@@	石镐
257	1	1	2	8	0	@@@	911	3	1	1	0	1	@@@	0	tile.endstone.name	tile.endstone.name	@@@	铁镐
278	1	1	2	12	0	@@@	911	3	1	1	0	1	@@@	0	tile.obsidian.name	tile.obsidian.name	@@@	钻石稿
275	1	1	1	10	0	@@@	912	3	1	1	0	1	@@@	0	tile.glass.name	tile.glass.name	@@@	石斧
258	1	1	2	3	0	@@@	912	3	1	1	0	1	@@@	0	tile.glass.name	tile.glass.name	@@@	铁斧
279	1	1	2	12	0	@@@	912	3	1	1	0	1	@@@	0	tile.sponge.name	tile.sponge.name	@@@	钻石斧
359	1	1	1	20	0	@@@	913	3	1	1	0	1	@@@	0	tile.sponge.name	tile.sponge.name	@@@	剪刀
304#305	2	0	1	40	0	@@@	921	3	2	0	0	1	@@@	0	tile.sponge.name	tile.sponge.name	@@@	链甲套
307#308	2	0	2	12	0	@@@	921	3	2	0	0	1	@@@	0	tile.sponge.name	tile.sponge.name	@@@	铁架套
312#313	2	0	3	6	0	@@@	921	3	2	0	0	1	@@@	0	tile.sponge.name	tile.sponge.name	@@@	钻石套
272	3	1	1	10	4	@@@	931	3	3	0	0	0	@@@	0	tile.sponge.name	tile.sponge.name	@@@	石剑
267	3	1	2	7	6	@@@	932	3	3	0	0	0	@@@	0	tile.sponge.name	tile.sponge.name	@@@	铁剑
276	3	1	3	3	8	@@@	933	3	3	0	0	0	@@@	0	tile.sponge.name	tile.sponge.name	@@@	钻石剑
261	3	1	2	12	8	@@@	0	3	3	0	0	0	@@@	0	tile.sponge.name	tile.sponge.name	@@@	弓
262	3	8	2	2	0	@@@	0	3	3	0	0	0	@@@	0	tile.sponge.name	tile.sponge.name	@@@	箭
280	3	1	2	10	3	19#2	0	3	3	0	0	0	@@@	0	tile.sponge.name	tile.sponge.name	@@@	击退棒
35	4	16	1	4	0	@@@	0	3	3	0	0	0	@@@	0	tile.sponge.name	tile.sponge.name	@@@	羊毛
121	4	12	1	24	0	@@@	0	3	3	0	0	0	@@@	0	tile.sponge.name	tile.sponge.name	@@@	末影石
160	4	4	1	6	0	@@@	0	3	3	0	0	0	@@@	0	tile.sponge.name	tile.sponge.name	@@@	玻璃
5	4	16	1	12	0	@@@	0	3	3	0	0	0	@@@	0	tile.sponge.name	tile.sponge.name	@@@	木板
49	4	4	3	4	0	@@@	0	3	3	0	0	0	@@@	0	tile.sponge.name	tile.sponge.name	@@@	黑曜石
65	4	16	2	4	0	@@@	0	3	3	0	0	0	@@@	0	tile.sponge.name	tile.sponge.name	@@@	梯子
19	4	4	2	6	0	@@@	0	3	3	0	0	0	@@@	0	tile.sponge.name	tile.sponge.name	@@@	海绵
373	5	1	3	1	0	@@@	0	3	4	0	0	0	8#3	60	tile.sponge.name	tile.sponge.name	@@@	跳跃药水
373	5	1	3	1	0	@@@	0	3	4	0	0	0	6#3	30	tile.sponge.name	tile.sponge.name	@@@	回血药水
373	5	1	3	2	0	@@@	0	3	4	0	0	0	14#3	30	tile.sponge.name	tile.sponge.name	@@@	隐身药水
373	5	1	3	1	0	@@@	0	3	4	0	0	0	1#2	30	tile.sponge.name	tile.sponge.name	@@@	速度药水
368	6	1	3	1	0	@@@	0	3	3	0	0	0	@@@	0	tile.sponge.name	tile.sponge.name	@@@	末影珍珠
326	6	1	2	1	0	@@@	0	3	3	0	0	0	@@@	0	tile.sponge.name	tile.sponge.name	@@@	水桶
2	6	1	1	2	0	@@@	0	3	3	0	0	0	@@@	0	tile.sponge.name	tile.sponge.name	@@@	防护墙
467	6	1	3	1	0	@@@	0	3	3	0	0	0	@@@	0	tile.sponge.name	tile.sponge.name	@@@	搭桥蛋
322	6	1	2	1	0	@@@	0	3	3	0	0	0	@@@	0	tile.sponge.name	tile.sponge.name	@@@	金苹果
506	6	1	1	1	0	@@@	0	3	3	0	0	0	@@@	0	tile.sponge.name	tile.sponge.name	@@@	火焰弹
46	6	1	1	2	0	@@@	0	3	3	0	0	0	@@@	0	tile.sponge.name	tile.sponge.name	@@@	tnt
507	6	1	1	1	0	@@@	0	3	3	0	0	0	@@@	0	tile.sponge.name	tile.sponge.name	@@@	救援平台
2	6	1	1	1	0	@@@	0	3	3	0	1	0	@@@	0	tile.sponge.name	tile.sponge.name	@@@	防御塔
