ActorName	Width	Length	Height	Remark
Actor文件名	宽度（>0）	长度（>0）	高度（>0）	备注信息
g1041_eggmachine.actor	1.2	1.2	3.8	蛋机
g1041_npc1.actor	2	2	4.5	npc1
g1041_npc2.actor	1.5	1.5	3.8	npc2
g1041_gate5.actor	9	9	6	5级门
g1041_gate8.actor	5	5	3	8级门
g1041_gate10.actor	5	5	3	10级门
g1041_gate15.actor	5	5	3	15级men
g1041_gatevip.actor	8.7	1	7	VIP门
g1041_mantis.actor	1	1	4.5	螳螂
g1041_bagpack.actor	1	1	2.2	登山包
g1041_bagpack.actor	1	1	2.2	草莓包
g1041_bagpack.actor	1	1	2.2	小熊背包
g1041_bagpack.actor	1	1	2.2	小书包
g1041_bagpack.actor	1	1	2.2	菠萝包
g1041_bagpack.actor	1	1	2.2	西瓜包
g1041_bagpack.actor	1	1	2.2	瓢虫背包
g1041_bagpack.actor	1	1	2.2	野战包
g1041_weapon_shovel.actor	1	1	2.2	铲子
g1041_weapon_rake.actor	1	1	2.2	耙子
g1041_weapon_scissors.actor	1	1	2.2	剪刀
g1041_weapon_magnet.actor	1	1	2.2	磁铁
g1041_weapon_vacuumcleaner.actor	1	1	2.2	吸尘器
g1041_bagpack.actor	1	1	2.2	工具包
g1041_bagpack.actor	1	1	2.2	旅行包
g1041_bagpack.actor	1	1	2.2	钢铁娃
g1041_weapon_magnetshovel.actor	1	1	2.2	磁力铲
g1041_weapon_atom.actor	1	1	2.2	引力杖
g1041_weapon_twinmagnet.actor	1	1	2.2	电磁铁
g1041_weapon_guns.actor	1	1	2.2	光剑
g1041_weapon_guns.actor	1	1	2.2	收割者
