id	名字	x坐标	y坐标	z坐标	朝向	actor名称	默认配置应该是body	bodyId
id	name	x	y	z	yaw	actorName	actorBody	actorBodyId
1	@@@	-617.5	11	-204.5	0	g1041_fruit.actor	body	4
2	@@@	-631.5	11	-194.5	0	g1041_fruit.actor	body	5
3	@@@	-649.5	11	-230.5	0	g1041_fruit.actor	body	34
4	@@@	-640.5	11	-215.5	90	g1041_fruit.actor	body	35
5	@@@	-643.5	11	-231.5	320	g1041_fruit.actor	body	35
6	@@@	-616.5	11	-221.5	120	g1041_fruit.actor	body	17
7	@@@	-625.5	11	-248.5	230	g1041_fruit.actor	body	18
8	@@@	-617.5	11	-249.5	0	g1041_fruit.actor	body	17
9	@@@	-625.5	11	-231.5	0	g1041_fruit.actor	body	18
10	@@@	-637.5	17	-266.5	0	g1041_fruit.actor	body	11
11	@@@	-633.5	17	-264.5	-30	g1041_fruit.actor	body	12
12	@@@	-616.5	17	-283.5	90	g1041_fruit.actor	body	13
13	@@@	-618.5	17	-270.5	120	g1041_fruit.actor	body	14
14	@@@	-670.5	14	-223.5	0	g1041_fruit.actor	body	15
15	@@@	-669.5	14	-240.5	0	g1041_fruit.actor	body	15
16	@@@	-657.5	14	-225.5	0	g1041_fruit.actor	body	16
17	@@@	-670.5	14	-200.5	0	g1041_fruit.actor	body	29
18	@@@	-668.5	14	-197.5	0	g1041_fruit.actor	body	30
19	@@@	-669.5	13	-210.5	0	g1041_fruit.actor	body	31
20	@@@	-640.5	11	-284.5	90	g1041_fruit.actor	body	8
21	@@@	-650.5	11	-275.5	180	g1041_fruit.actor	body	9
22	@@@	-649.5	11	-256.5	180	g1041_fruit.actor	body	10
23	@@@	-666.5	14	-281.5	0	g1041_fruit.actor	body	7
24	@@@	-670.5	14	-257.5	0	g1041_fruit.actor	body	6
25	@@@	-661.5	16	-276.5	0	g1041_fruit.actor	body	7
26	@@@	-690.5	23	-288.5	0	g1041_fruit.actor	body	26
27	@@@	-699.5	23	-303.5	0	g1041_fruit.actor	body	27
28	@@@	-693.5	23	-304.5	0	g1041_fruit.actor	body	28
29	@@@	-647.5	14	-172.5	0	g1041_fruit.actor	body	32
30	@@@	-633.5	14	-171.5	0	g1041_fruit.actor	body	33
31	@@@	-631.5	14	-176.5	0	g1041_fruit.actor	body	32
32	@@@	-674.5	23	-218.5	0	g1041_fruit.actor	body	21
33	@@@	-681.5	23	-193.5	90	g1041_fruit.actor	body	22
34	@@@	-681.5	23	-193.5	0	g1041_fruit.actor	body	22
35	@@@	-697.5	23	-194.5	0	g1041_fruit.actor	body	24
36	@@@	-688.5	23	-192.5	90	g1041_fruit.actor	body	24
37	@@@	-699.5	23	-176.5	0	g1041_fruit.actor	body	19
38	@@@	-679.5	23	-174.5	0	g1041_fruit.actor	body	20
39	@@@	-674.5	23	-186.5	0	g1041_fruit.actor	body	19
40	@@@	-561.5	11	-208.5	0	g1041_fruit.actor	body	1
41	@@@	-583.5	11	-240.5	0	g1041_fruit.actor	body	2
42	@@@	-560.5	11	-233.5	0	g1041_fruit.actor	body	1
