id	奖励组id	物品id	数量	物品子id	物品图片	物品的品质	备注
id	teamId	itemId	num	meta	image	quality	remark
1	101	910101	1	0	set:bird_icon.json image:body_20101	1	@@@
2	102	930101	1	0	set:bird_icon.json image:body_10101	1	@@@
3	103	920101	1	0	set:bird_icon.json image:body_30101	1	@@@
4	104	940101	1	0	set:bird_icon.json image:body_40101	1	@@@
5	105	910103	1	0	set:bird_icon.json image:body_20103	1	@@@
6	106	930201	1	0	set:bird_icon.json image:body_10201	2	@@@
7	201	930102	1	0	set:bird_icon.json image:body_10102	1	@@@
8	202	940102	1	0	set:bird_icon.json image:body_40102	1	@@@
9	203	920102	1	0	set:bird_icon.json image:body_30102	1	@@@
10	204	910201	1	0	set:bird_icon.json image:body_20201	2	@@@
11	205	940201	1	0	set:bird_icon.json image:body_40201	2	@@@
12	206	920301	1	0	set:bird_icon.json image:body_30301	3	@@@
13	301	920103	1	0	set:bird_icon.json image:body_30103	1	@@@
14	302	940103	1	0	set:bird_icon.json image:body_40103	1	@@@
15	303	920201	1	0	set:bird_icon.json image:body_30201	2	@@@
16	304	930202	1	0	set:bird_icon.json image:body_10202	2	@@@
17	305	910301	1	0	set:bird_icon.json image:body_20301	3	@@@
18	306	940301	1	0	set:bird_icon.json image:body_40301	3	@@@
19	401	910102	1	0	set:bird_icon.json image:body_20102	1	@@@
20	402	940202	1	0	set:bird_icon.json image:body_40202	2	@@@
21	403	910202	1	0	set:bird_icon.json image:body_20202	2	@@@
22	404	920202	1	0	set:bird_icon.json image:body_30202	2	@@@
23	405	930301	1	0	set:bird_icon.json image:body_10301	3	@@@
24	406	910401	1	0	set:bird_icon.json image:body_20401	4	@@@
25	501	930103	1	0	set:bird_icon.json image:body_10103	1	@@@
26	502	920203	1	0	set:bird_icon.json image:body_30203	2	@@@
27	503	940203	1	0	set:bird_icon.json image:body_40203	2	@@@
28	504	930302	1	0	set:bird_icon.json image:body_10302	3	@@@
29	505	910302	1	0	set:bird_icon.json image:body_20302	3	@@@
30	506	930401	1	0	set:bird_icon.json image:body_10401	4	@@@
31	601	910203	1	0	set:bird_icon.json image:body_20203	2	@@@
32	602	930203	1	0	set:bird_icon.json image:body_10203	2	@@@
33	603	940303	1	0	set:bird_icon.json image:body_40303	3	@@@
34	604	920303	1	0	set:bird_icon.json image:body_30303	3	@@@
35	605	940401	1	0	set:bird_icon.json image:body_40401	4	@@@
36	606	920401	1	0	set:bird_icon.json image:body_30401	4	@@@
37	701	910303	1	0	set:bird_icon.json image:body_20303	3	@@@
38	702	930303	1	0	set:bird_icon.json image:body_10303	3	@@@
39	703	940302	1	0	set:bird_icon.json image:body_40302	3	@@@
40	704	940402	1	0	set:bird_icon.json image:body_40402	4	@@@
41	705	910403	1	0	set:bird_icon.json image:body_20403	4	@@@
42	706	920402	1	0	set:bird_icon.json image:body_30402	4	@@@
43	801	920302	1	0	set:bird_icon.json image:body_30302	3	@@@
44	802	910402	1	0	set:bird_icon.json image:body_20402	4	@@@
45	803	930402	1	0	set:bird_icon.json image:body_10402	4	@@@
46	804	930403	1	0	set:bird_icon.json image:body_10403	4	@@@
47	805	940403	1	0	set:bird_icon.json image:body_40403	4	@@@
48	806	920403	1	0	set:bird_icon.json image:body_30403	4	@@@
49	901	900402	1	0	set:bird_icon.json image:body_50402	4	@@@
50	902	900403	1	0	set:bird_icon.json image:body_50403	4	@@@
51	903	900404	1	0	set:bird_icon.json image:body_50404	4	@@@
52	904	900405	1	0	set:bird_icon.json image:body_50405	4	@@@
53	905	900406	1	0	set:bird_icon.json image:body_50406	4	@@@
54	906	900407	1	0	set:bird_icon.json image:body_50407	4	@@@
93	10101	910101	1	0	set:bird_icon.json image:body_20101	1	@@@
94	10102	930101	1	0	set:bird_icon.json image:body_10101	1	@@@
95	10103	920101	1	0	set:bird_icon.json image:body_30101	1	@@@
96	10104	940101	1	0	set:bird_icon.json image:body_40101	1	@@@
97	10105	910103	1	0	set:bird_icon.json image:body_20103	1	@@@
98	10106	930201	1	0	set:bird_icon.json image:body_10201	2	@@@
99	10201	930102	1	0	set:bird_icon.json image:body_10102	1	@@@
100	10202	940102	1	0	set:bird_icon.json image:body_40102	1	@@@
101	10203	920102	1	0	set:bird_icon.json image:body_30102	1	@@@
102	10204	910201	1	0	set:bird_icon.json image:body_20201	2	@@@
103	10205	940201	1	0	set:bird_icon.json image:body_40201	2	@@@
104	10206	920301	1	0	set:bird_icon.json image:body_30301	3	@@@
105	10301	920103	1	0	set:bird_icon.json image:body_30103	1	@@@
106	10302	940103	1	0	set:bird_icon.json image:body_40103	1	@@@
107	10303	920201	1	0	set:bird_icon.json image:body_30201	2	@@@
108	10304	930202	1	0	set:bird_icon.json image:body_10202	2	@@@
109	10305	910301	1	0	set:bird_icon.json image:body_20301	3	@@@
110	10306	940301	1	0	set:bird_icon.json image:body_40301	3	@@@
111	10401	910102	1	0	set:bird_icon.json image:body_20102	1	@@@
112	10402	940202	1	0	set:bird_icon.json image:body_40202	2	@@@
113	10403	910202	1	0	set:bird_icon.json image:body_20202	2	@@@
114	10404	920202	1	0	set:bird_icon.json image:body_30202	2	@@@
115	10405	930301	1	0	set:bird_icon.json image:body_10301	3	@@@
116	10406	910401	1	0	set:bird_icon.json image:body_20401	4	@@@
117	10501	930103	1	0	set:bird_icon.json image:body_10103	1	@@@
118	10502	920203	1	0	set:bird_icon.json image:body_30203	2	@@@
119	10503	940203	1	0	set:bird_icon.json image:body_40203	2	@@@
120	10504	930302	1	0	set:bird_icon.json image:body_10302	3	@@@
121	10505	910302	1	0	set:bird_icon.json image:body_20302	3	@@@
122	10506	930401	1	0	set:bird_icon.json image:body_10401	4	@@@
123	10601	910203	1	0	set:bird_icon.json image:body_20203	2	@@@
124	10602	930203	1	0	set:bird_icon.json image:body_10203	2	@@@
125	10603	940303	1	0	set:bird_icon.json image:body_40303	3	@@@
126	10604	920303	1	0	set:bird_icon.json image:body_30303	3	@@@
127	10605	940401	1	0	set:bird_icon.json image:body_40401	4	@@@
128	10606	920401	1	0	set:bird_icon.json image:body_30401	4	@@@
129	10701	910303	1	0	set:bird_icon.json image:body_20303	3	@@@
130	10702	930303	1	0	set:bird_icon.json image:body_10303	3	@@@
131	10703	940302	1	0	set:bird_icon.json image:body_40302	3	@@@
132	10704	940402	1	0	set:bird_icon.json image:body_40402	4	@@@
133	10705	910403	1	0	set:bird_icon.json image:body_20403	4	@@@
134	10706	920402	1	0	set:bird_icon.json image:body_30402	4	@@@
135	10801	920302	1	0	set:bird_icon.json image:body_30302	3	@@@
136	10802	910402	1	0	set:bird_icon.json image:body_20402	4	@@@
137	10803	930402	1	0	set:bird_icon.json image:body_10402	4	@@@
138	10804	930403	1	0	set:bird_icon.json image:body_10403	4	@@@
139	10805	940403	1	0	set:bird_icon.json image:body_40403	4	@@@
140	10806	920403	1	0	set:bird_icon.json image:body_30403	4	@@@
141	10901	900402	1	0	set:bird_icon.json image:body_50402	4	@@@
142	10902	900403	1	0	set:bird_icon.json image:body_50403	4	@@@
143	10903	900404	1	0	set:bird_icon.json image:body_50404	4	@@@
144	10904	900405	1	0	set:bird_icon.json image:body_50405	4	@@@
145	10905	900406	1	0	set:bird_icon.json image:body_50406	4	@@@
146	10906	900407	1	0	set:bird_icon.json image:body_50407	4	@@@
147	1001	9000002	1	0	set:bird_icon.json image:storeitem_01	4	抽蛋票
148	1002	9000002	3	0	set:bird_icon.json image:storeitem_01	4	抽蛋票
149	1003	9000002	5	0	set:bird_icon.json image:storeitem_01	4	抽蛋票
150	1004	9000002	10	0	set:bird_icon.json image:storeitem_01	4	抽蛋票
151	1051	9000001	100	0	set:bird_icon.json image:storeitem_03	1	果币
152	1052	9000001	500	0	set:bird_icon.json image:storeitem_03	1	果币
153	1053	9000001	1000	0	set:bird_icon.json image:storeitem_03	1	果币
154	1054	9000001	2000	0	set:bird_icon.json image:storeitem_03	1	果币
155	1055	9000001	5000	0	set:bird_icon.json image:storeitem_03	1	果币
156	1056	9000001	10000	0	set:bird_icon.json image:storeitem_03	1	果币
157	1101	1041001	1	0	set:bird_icon.json image:storeitem_04	1	饼干
158	1102	1041001	5	0	set:bird_icon.json image:storeitem_04	1	饼干
159	1103	1041001	10	0	set:bird_icon.json image:storeitem_04	1	饼干
160	1104	1041001	20	0	set:bird_icon.json image:storeitem_04	1	饼干
161	1131	1041003	1	0	set:bird_icon.json image:storeitem_08	1	香蕉
162	1132	1041003	3	0	set:bird_icon.json image:storeitem_08	1	香蕉
163	1133	1041003	5	0	set:bird_icon.json image:storeitem_08	1	香蕉
164	1134	1041003	10	0	set:bird_icon.json image:storeitem_08	1	香蕉
165	1141	1041004	1	0	set:bird_icon.json image:storeitem_06	1	西瓜
166	1142	1041004	3	0	set:bird_icon.json image:storeitem_06	1	西瓜
167	1143	1041004	5	0	set:bird_icon.json image:storeitem_06	1	西瓜
168	1144	1041004	10	0	set:bird_icon.json image:storeitem_06	1	西瓜
169	1151	1041005	1	0	set:bird_icon.json image:storeitem_10	1	葡萄
170	1152	1041005	3	0	set:bird_icon.json image:storeitem_10	1	葡萄
171	1153	1041005	5	0	set:bird_icon.json image:storeitem_10	1	葡萄
172	1154	1041005	10	0	set:bird_icon.json image:storeitem_10	1	葡萄
173	1161	1041006	1	0	set:bird_icon.json image:storeitem_11	1	奇异果
174	1162	1041006	3	0	set:bird_icon.json image:storeitem_11	1	奇异果
175	1163	1041006	5	0	set:bird_icon.json image:storeitem_11	1	奇异果
176	1164	1041006	10	0	set:bird_icon.json image:storeitem_11	1	奇异果
177	1191	1041009	1	0	set:bird_icon.json image:storeitem_09	2	蓝莓
178	1192	1041009	3	0	set:bird_icon.json image:storeitem_09	2	蓝莓
179	1193	1041009	5	0	set:bird_icon.json image:storeitem_09	2	蓝莓
180	1194	1041009	10	0	set:bird_icon.json image:storeitem_09	2	蓝莓
