奖励池id	是否核心	权重(用#隔开)
id	isKey	weight
9101	0	250
9102	0	250
9103	0	150
9104	0	150
9105	0	120
9106	1	80
9201	0	200
9202	0	200
9203	0	200
9204	0	190
9205	0	190
9206	1	20
9301	0	400
9302	0	400
9303	0	250
9304	0	150
9305	1	20
9306	1	20
9401	0	230
9402	0	240
9403	0	240
9404	0	240
9405	0	40
9406	1	2
9501	0	150
9502	0	225
9503	0	225
9504	0	30
9505	0	15
9506	1	3
9601	0	200
9602	0	200
9603	0	260
9604	0	260
9605	1	2
9606	1	2
9701	0	500
9702	0	350
9703	0	200
9704	0	8
9705	0	4
9706	1	2
9801	0	500
9802	0	400
9803	0	150
9804	0	60
9805	0	10
9806	1	5
9901	0	500
9902	0	350
9903	0	200
9904	0	80
9905	0	20
9906	1	5
