奖励组id	奖励池id	权重	注释
id	poolId	weight	remark
101	9101	250	抽蛋
102	9102	250	抽蛋
103	9103	150	抽蛋
104	9104	150	抽蛋
105	9105	120	抽蛋
106	9106	80	抽蛋
201	9201	200	抽蛋
202	9202	200	抽蛋
203	9203	200	抽蛋
204	9204	190	抽蛋
205	9205	190	抽蛋
206	9206	20	抽蛋
301	9301	400	抽蛋
302	9302	400	抽蛋
303	9303	250	抽蛋
304	9304	150	抽蛋
305	9305	20	抽蛋
306	9306	20	抽蛋
401	9401	230	抽蛋
402	9402	240	抽蛋
403	9403	240	抽蛋
404	9404	240	抽蛋
405	9405	40	抽蛋
406	9406	2	抽蛋
501	9501	150	抽蛋
502	9502	225	抽蛋
503	9503	225	抽蛋
504	9504	30	抽蛋
505	9505	15	抽蛋
506	9506	3	抽蛋
601	9601	200	抽蛋
602	9602	200	抽蛋
603	9603	260	抽蛋
604	9604	260	抽蛋
605	9605	2	抽蛋
606	9606	2	抽蛋
701	9701	500	抽蛋
702	9702	350	抽蛋
703	9703	200	抽蛋
704	9704	8	抽蛋
705	9705	4	抽蛋
706	9706	2	抽蛋
801	9801	500	抽蛋
802	9802	400	抽蛋
803	9803	150	抽蛋
804	9804	60	抽蛋
805	9805	10	抽蛋
806	9806	5	抽蛋
901	9901	500	抽蛋
902	9902	350	抽蛋
903	9903	200	抽蛋
904	9904	80	抽蛋
905	9905	20	抽蛋
906	9906	5	抽蛋
10101	8001	10	每日送鸟
10102	8001	10	每日送鸟
10103	8001	10	每日送鸟
10104	8001	10	每日送鸟
10105	8001	10	每日送鸟
10201	8001	10	每日送鸟
10202	8001	10	每日送鸟
10203	8001	10	每日送鸟
10301	8001	10	每日送鸟
10302	8001	10	每日送鸟
10401	8001	10	每日送鸟
10501	8001	10	每日送鸟
10106	8002	10	每日送鸟
10204	8002	10	每日送鸟
10205	8002	10	每日送鸟
10303	8002	10	每日送鸟
10304	8002	10	每日送鸟
10402	8002	10	每日送鸟
10403	8002	10	每日送鸟
10404	8002	10	每日送鸟
10502	8002	10	每日送鸟
10503	8002	10	每日送鸟
10601	8002	10	每日送鸟
10602	8002	10	每日送鸟
10206	8003	10	每日送鸟
10305	8003	10	每日送鸟
10306	8003	10	每日送鸟
10405	8003	10	每日送鸟
10504	8003	10	每日送鸟
10505	8003	10	每日送鸟
10603	8003	10	每日送鸟
10604	8003	10	每日送鸟
10701	8003	10	每日送鸟
10702	8003	10	每日送鸟
10703	8003	10	每日送鸟
10801	8003	10	每日送鸟
10406	8004	10	每日送鸟
10506	8004	10	每日送鸟
10605	8004	10	每日送鸟
10606	8004	10	每日送鸟
10704	8004	10	每日送鸟
10705	8004	10	每日送鸟
10706	8004	10	每日送鸟
10602	8004	10	每日送鸟
10603	8004	10	每日送鸟
10604	8004	10	每日送鸟
10605	8004	10	每日送鸟
10606	8004	10	每日送鸟
