id	商品类型（1食物，果币，抽蛋票，2特权，3小鸟装饰）	商品id	子id	数量	所属商品组ID	是否自动装上(0不装上，1自动装上)	提示图片	商品名称多语言	注释
id	type	itemId	meta	num	teamId	autoEquip	icon	name	ps
1	1	9000001	0	10000	9999	0	set:bird_icon.json image:xinshoulibao_01	teamname_9999	新手礼包
2	1	9000002	0	100	9999	0	set:bird_icon.json image:xinshoulibao_02	teamname_9999	新手礼包抽蛋票
3	1	900401	0	1	9999	0	set:bird_icon.json image:xinshoulibao_03	teamname_9999	新手礼包飞猪
4	3	810013	0	1	901	0	set:bird_icon.json image:glasses_13	teamname_901	潜水员
5	3	810017	0	1	902	0	set:bird_icon.json image:glasses_17	teamname_902	开派对
6	3	810018	0	1	903	0	set:bird_icon.json image:glasses_18	teamname_903	古铜
7	3	810019	0	1	904	0	set:bird_icon.json image:glasses_19	teamname_904	栅栏
8	3	810020	0	1	905	0	set:bird_icon.json image:glasses_20	teamname_905	炫彩
9	3	810021	0	1	906	0	set:bird_icon.json image:glasses_21	teamname_906	近视
10	3	810023	0	1	907	0	set:bird_icon.json image:glasses_23	teamname_907	围巾
11	3	810024	0	1	908	0	set:bird_icon.json image:glasses_24	teamname_908	腰带
12	3	810025	0	1	909	0	set:bird_icon.json image:glasses_25	teamname_909	爱心
13	3	810026	0	1	910	0	set:bird_icon.json image:glasses_26	teamname_910	口水巾
14	3	810027	0	1	911	0	set:bird_icon.json image:glasses_27	teamname_911	蝴蝶结
15	3	810028	0	1	912	0	set:bird_icon.json image:glasses_28	teamname_912	游泳圈
16	3	820013	0	1	801	0	set:bird_icon.json image:hat_13	teamname_801	公主
17	3	820014	0	1	802	0	set:bird_icon.json image:hat_14	teamname_802	小红
18	3	820015	0	1	803	0	set:bird_icon.json image:hat_15	teamname_803	小篮
19	3	820016	0	1	804	0	set:bird_icon.json image:hat_16	teamname_804	犄角
20	3	820017	0	1	805	0	set:bird_icon.json image:hat_17	teamname_805	皇冠
21	3	820018	0	1	806	0	set:bird_icon.json image:hat_18	teamname_806	发条
22	3	820019	0	1	807	0	set:bird_icon.json image:hat_19	teamname_807	皇子
