索引	id	类型	任务参数1	任务参数2	任务参数3	描述
index	contentId	type	Id	num	color	desc
1	10103011	3	20003	1	@@@	@@@
2	10223011	23	66002#66003#66004#66005#66006#66007#66008#66009#66001	1	@@@	@@@
3	20221011	21	@@@	50	@@@	@@@
4	10208011	8	9988#2001#1027#2002#1028#2003#1029#2004#1030#2005#1031#2006#1032#2007#1033#2008#1034#2009#2010#1035#2011#1036	1	@@@	@@@
5	20221021	21	@@@	100	@@@	@@@
6	10203011	3	20001	1	@@@	@@@
7	20221031	21	@@@	150	@@@	@@@
8	10305011	5	@@@	3	@@@	@@@
9	20321011	21	@@@	200	@@@	@@@
10	10302011	2	101	200	@@@	@@@
11	20321021	21	@@@	210	@@@	@@@
12	10303011	3	20007	1	@@@	@@@
13	20322011	22	@@@	200	2	@@@
14	20321031	21	@@@	230	@@@	@@@
15	10302021	2	103	350	@@@	@@@
16	20322021	22	@@@	240	1	@@@
17	20321041	21	@@@	270	@@@	@@@
18	10302031	2	102	500	@@@	@@@
19	20322031	22	@@@	270	2	@@@
20	20321051	21	@@@	300	@@@	@@@
21	10405011	5	@@@	4	@@@	@@@
22	20422011	22	@@@	290	1	@@@
23	20421011	21	@@@	330	@@@	@@@
24	10403011	3	20008	1	@@@	@@@
25	20401011	1	4001#4005	1	@@@	@@@
26	20422021	22	@@@	340	3	@@@
27	20421021	21	@@@	380	@@@	@@@
28	20407011	7	1041001	10	@@@	@@@
29	10403021	3	20002	1	@@@	@@@
30	20401021	1	4002#4006	1	@@@	@@@
31	20422031	22	@@@	430	1	@@@
32	20421031	21	@@@	480	@@@	@@@
33	20407021	7	1041003	5	@@@	@@@
34	10423011	23	66006#66007#66008#66009#66001#66002#66003#66004#66005	3	@@@	@@@
35	20401031	1	4004#4008	1	@@@	@@@
36	20422041	22	@@@	340	2	@@@
37	20421041	21	@@@	380	@@@	@@@
38	20407031	7	1041004	5	@@@	@@@
39	10406011	6	4	1	@@@	@@@
40	20401041	1	4003#4007	1	@@@	@@@
41	20422051	22	@@@	410	1	@@@
42	20421051	21	@@@	460	@@@	@@@
43	20407041	7	1041005	5	@@@	@@@
