索引	任务ID	鸟巢格子数量（最低携带位）	鸟巢格子数量（最高携带位）	其他开启条件(多个条件#号分割）	权重	等待时间（s）	接任务NPC	完成条件ID（多个条件#号分割）	奖励(多个用#隔开)	数量	提示图片	按钮显示的内容	显示的标题(#为空)	对话内容(#分页)	领取任务之后对话	完成任务对话
id	taskId	minBox	maxBox	otherRequirement	weight	waitTime	receiveNpcId	requirement	rewards	num	icons	sureContent	title	dialog	dialogAffter	dialogComplete
6	99902006	3	5	@@@	10	14400	20001	99900001	9000002	20	set:bird_icon.json image:storeitem_01	gui_dialog_tip_btn_sure	tastlang_id_20001	taskhello_20001	taskaffter_20001	taskcomplete_20001
7	99902007	3	5	@@@	10	14400	20001	99900002	9000002	22	set:bird_icon.json image:storeitem_01	gui_dialog_tip_btn_sure	tastlang_id_20001	taskhello_20001	taskaffter_20001	taskcomplete_20001
8	99902008	3	5	@@@	10	14400	20001	99900003	9000002	21	set:bird_icon.json image:storeitem_01	gui_dialog_tip_btn_sure	tastlang_id_20001	taskhello_20001	taskaffter_20001	taskcomplete_20001
9	99902009	3	5	@@@	10	14400	20001	99900004	9000002	19	set:bird_icon.json image:storeitem_01	gui_dialog_tip_btn_sure	tastlang_id_20001	taskhello_20001	taskaffter_20001	taskcomplete_20001
10	99902010	6	16	@@@	10	14400	20001	99900005	9000002	30	set:bird_icon.json image:storeitem_01	gui_dialog_tip_btn_sure	tastlang_id_20001	taskhello_20001	taskaffter_20001	taskcomplete_20001
11	99902011	6	16	@@@	10	14400	20001	99900006	9000002	32	set:bird_icon.json image:storeitem_01	gui_dialog_tip_btn_sure	tastlang_id_20001	taskhello_20001	taskaffter_20001	taskcomplete_20001
12	99902012	6	16	@@@	10	14400	20001	99900007	9000002	31	set:bird_icon.json image:storeitem_01	gui_dialog_tip_btn_sure	tastlang_id_20001	taskhello_20001	taskaffter_20001	taskcomplete_20001
13	99902013	6	16	@@@	10	14400	20001	99900008	9000002	29	set:bird_icon.json image:storeitem_01	gui_dialog_tip_btn_sure	tastlang_id_20001	taskhello_20001	taskaffter_20001	taskcomplete_20001
14	99902014	1	1	@@@	10	14400	20001	99900009	9000002	20	set:bird_icon.json image:storeitem_01	gui_dialog_tip_btn_sure	tastlang_id_20001	taskhello_20001	taskaffter_20001	taskcomplete_20001
15	99902015	2	2	@@@	10	14400	20001	99900010	9000002	20	set:bird_icon.json image:storeitem_01	gui_dialog_tip_btn_sure	tastlang_id_20001	taskhello_20001	taskaffter_20001	taskcomplete_20001
16	99902016	3	3	@@@	10	14400	20001	99900011	9000002	20	set:bird_icon.json image:storeitem_01	gui_dialog_tip_btn_sure	tastlang_id_20001	taskhello_20001	taskaffter_20001	taskcomplete_20001
17	99902017	4	4	@@@	10	14400	20001	99900012	9000002	20	set:bird_icon.json image:storeitem_01	gui_dialog_tip_btn_sure	tastlang_id_20001	taskhello_20001	taskaffter_20001	taskcomplete_20001
18	99902018	5	5	@@@	10	14400	20001	99900013	9000002	20	set:bird_icon.json image:storeitem_01	gui_dialog_tip_btn_sure	tastlang_id_20001	taskhello_20001	taskaffter_20001	taskcomplete_20001
19	99902019	6	6	@@@	10	14400	20001	99900014	9000002	30	set:bird_icon.json image:storeitem_01	gui_dialog_tip_btn_sure	tastlang_id_20001	taskhello_20001	taskaffter_20001	taskcomplete_20001
