id	奖励组ID	掉落buff币ID	掉落数量	备注
id	teamId	coinId	amount	remark
1	1	1092	3	抽蛋票（暂用苹果替代）
2	1	1063	10	果币100
3	1	1064	15	果币200
4	1	1085	5	饼干
5	1	1086	2	蓝莓
6	1	1087	4	奇异果
7	1	1088	4	葡萄
8	1	1089	2	桃子
9	1	1090	4	香蕉
10	1	1091	4	西瓜
11	2	1092	5	抽蛋票（暂用苹果替代）
12	2	1063	10	果币100
13	2	1064	10	果币200
14	2	1085	5	饼干
15	2	1086	1	蓝莓
16	2	1087	3	奇异果
17	2	1088	3	葡萄
18	2	1089	1	桃子
19	2	1090	3	香蕉
20	2	1091	3	西瓜
21	3	1092	8	抽蛋票（暂用苹果替代）
22	3	1063	10	果币100
23	3	1064	10	果币200
24	3	1085	5	饼干
25	3	1086	0	蓝莓
26	3	1087	3	奇异果
27	3	1088	3	葡萄
28	3	1089	0	桃子
29	3	1090	3	香蕉
30	3	1091	3	西瓜
31	4	1092	4	抽蛋票（暂用苹果替代）
32	4	1063	10	果币100
33	4	1064	5	果币200
34	4	1085	5	饼干
35	4	1086	0	蓝莓
36	4	1087	3	奇异果
37	4	1088	3	葡萄
38	4	1089	0	桃子
39	4	1090	3	香蕉
40	4	1091	3	西瓜
41	5	1092	5	抽蛋票（暂用苹果替代）
42	5	1063	10	果币100
43	5	1064	5	果币200
44	5	1085	5	饼干
45	5	1086	0	蓝莓
46	5	1087	2	奇异果
47	5	1088	2	葡萄
48	5	1089	0	桃子
49	5	1090	2	香蕉
50	5	1091	2	西瓜
51	6	1092	8	抽蛋票（暂用苹果替代）
52	6	1064	20	果币200
53	6	1065	15	果币500
54	6	1085	10	饼干
55	6	1086	3	蓝莓
56	6	1087	5	奇异果
57	6	1088	5	葡萄
58	6	1089	3	桃子
59	6	1090	5	香蕉
60	6	1091	5	西瓜
61	7	1092	5	抽蛋票（暂用苹果替代）
62	7	1064	20	果币200
63	7	1065	20	果币500
64	7	1085	5	饼干
65	7	1086	5	蓝莓
66	7	1087	8	奇异果
67	7	1088	8	葡萄
68	7	1089	5	桃子
69	7	1090	8	香蕉
70	7	1091	8	西瓜
71	8	1092	10	抽蛋票（暂用苹果替代）
72	8	1064	15	果币200
73	8	1065	15	果币500
74	8	1085	8	饼干
75	8	1086	3	蓝莓
76	8	1087	5	奇异果
77	8	1088	5	葡萄
78	8	1089	3	桃子
79	8	1090	5	香蕉
80	8	1091	5	西瓜
81	9	1092	12	抽蛋票（暂用苹果替代）
82	9	1064	15	果币200
83	9	1065	15	果币500
84	9	1085	8	饼干
85	9	1086	1	蓝莓
86	9	1087	5	奇异果
87	9	1088	5	葡萄
88	9	1089	1	桃子
89	9	1090	5	香蕉
90	9	1091	5	西瓜
91	10	1092	15	抽蛋票（暂用苹果替代）
92	10	1064	15	果币200
93	10	1065	10	果币500
94	10	1085	5	饼干
95	10	1086	1	蓝莓
96	10	1087	3	奇异果
97	10	1088	3	葡萄
98	10	1089	1	桃子
99	10	1090	3	香蕉
100	10	1091	3	西瓜
101	11	1092	18	抽蛋票（暂用苹果替代）
102	11	1065	20	果币500
103	11	1066	25	果币1000
104	11	1085	10	饼干
105	11	1086	8	蓝莓
106	11	1087	8	奇异果
107	11	1088	8	葡萄
108	11	1089	8	桃子
109	11	1090	8	香蕉
110	11	1091	8	西瓜
111	12	1092	15	抽蛋票（暂用苹果替代）
112	12	1065	20	果币500
113	12	1066	30	果币1000
114	12	1085	10	饼干
115	12	1086	10	蓝莓
116	12	1087	6	奇异果
117	12	1088	6	葡萄
118	12	1089	10	桃子
119	12	1090	6	香蕉
120	12	1091	6	西瓜
121	13	1092	20	抽蛋票（暂用苹果替代）
122	13	1065	20	果币500
123	13	1066	20	果币1000
124	13	1085	10	饼干
125	13	1086	8	蓝莓
126	13	1087	6	奇异果
127	13	1088	6	葡萄
128	13	1089	8	桃子
129	13	1090	6	香蕉
130	13	1091	6	西瓜
131	14	1092	23	抽蛋票（暂用苹果替代）
132	14	1065	20	果币500
133	14	1066	10	果币1000
134	14	1085	5	饼干
135	14	1086	5	蓝莓
136	14	1087	6	奇异果
137	14	1088	6	葡萄
138	14	1089	5	桃子
139	14	1090	6	香蕉
140	14	1091	6	西瓜
141	15	1092	25	抽蛋票（暂用苹果替代）
142	15	1065	15	果币500
143	15	1066	10	果币1000
144	15	1085	5	饼干
145	15	1086	5	蓝莓
146	15	1087	5	奇异果
147	15	1088	5	葡萄
148	15	1089	5	桃子
149	15	1090	5	香蕉
150	15	1091	5	西瓜
151	16	1092	25	抽蛋票（暂用苹果替代）
152	16	1065	25	果币500
153	16	1066	50	果币1000
154	16	1085	15	饼干
155	16	1086	15	蓝莓
156	16	1087	10	奇异果
157	16	1088	10	葡萄
158	16	1089	15	桃子
159	16	1090	10	香蕉
160	16	1091	10	西瓜
161	17	1092	30	抽蛋票（暂用苹果替代）
162	17	1065	20	果币500
163	17	1066	40	果币1000
164	17	1085	15	饼干
165	17	1086	10	蓝莓
166	17	1087	10	奇异果
167	17	1088	10	葡萄
168	17	1089	10	桃子
169	17	1090	10	香蕉
170	17	1091	10	西瓜
171	18	1092	33	抽蛋票（暂用苹果替代）
172	18	1065	20	果币500
173	18	1066	30	果币1000
174	18	1085	10	饼干
175	18	1086	10	蓝莓
176	18	1087	10	奇异果
177	18	1088	10	葡萄
178	18	1089	10	桃子
179	18	1090	10	香蕉
180	18	1091	10	西瓜
181	19	1092	40	抽蛋票（暂用苹果替代）
182	19	1065	20	果币500
183	19	1066	20	果币1000
184	19	1085	15	饼干
185	19	1086	8	蓝莓
186	19	1087	8	奇异果
187	19	1088	8	葡萄
188	19	1089	8	桃子
189	19	1090	8	香蕉
190	19	1091	8	西瓜
191	20	1092	36	抽蛋票（暂用苹果替代）
192	20	1065	20	果币500
193	20	1066	25	果币1000
194	20	1085	10	饼干
195	20	1086	8	蓝莓
196	20	1087	10	奇异果
197	20	1088	10	葡萄
198	20	1089	8	桃子
199	20	1090	10	香蕉
200	20	1091	10	西瓜
