id	类型(1.模板, 2.方块, 3.装饰)	唯一id	数量	备注
id	type	uniqueId	num	remark
1	2	100100	5	石头
2	2	101200	5	沙子
3	2	100400	5	鹅卵石
4	2	100200	5	草方块
5	2	100300	5	泥土
6	2	108200	5	黏土
7	2	101700	5	橡树木
8	2	101701	5	云杉木
9	2	101702	5	桦树木
10	2	101703	5	丛林木
11	2	116200	5	金合欢树
12	2	116201	5	暗橡树木
13	2	200101	5	花岗岩
14	2	200103	5	闪长岩
15	2	200105	5	安山岩
16	2	211000	5	菌丝
17	2	209800	5	石砖
18	2	209801	5	草石砖
19	2	209802	5	破损石砖
20	2	209803	5	凿刻石砖
21	2	204500	5	砖头
22	2	202400	5	砂石
23	2	211200	5	暗砖
24	2	200500	5	橡木板
25	2	200501	5	云杉木板
26	2	200502	5	桦树木板
27	2	200503	5	丛林木板
28	2	200504	5	金合欢木板
29	2	200505	5	暗橡木板
30	2	207900	5	冰
31	2	300102	5	磨制花岗岩
32	2	300104	5	磨制闪长岩
33	2	300105	5	磨制安山岩
34	2	308700	5	阴间岩
35	2	312100	5	末地石
36	2	300700	5	基岩
37	2	315500	5	石英
38	2	304200	5	铁块
39	2	308000	5	雪方块
40	2	302401	5	雕刻砂石
41	2	302402	5	光滑砂石
42	2	301800	5	橡树叶
43	2	301801	5	云杉树叶
44	2	301802	5	桦树叶
45	2	301803	5	丛林树叶
46	2	404100	5	金块
47	2	502200	5	天青石块
48	2	505700	5	钻石块
49	2	513300	5	绿宝石块
50	2	315900	5	白色陶瓦
51	2	315901	5	橙色陶瓦
52	2	315902	5	洋红色陶瓦
53	2	315903	5	浅蓝色陶瓦
54	2	315904	5	黄色陶瓦
55	2	315905	5	石灰色陶瓦
56	2	315906	5	粉色陶瓦
57	2	315907	5	灰色陶瓦
58	2	315908	5	浅灰色陶瓦
59	2	315909	5	青色陶瓦
60	2	315910	5	紫色陶瓦
61	2	315911	5	蓝色陶瓦
62	2	315912	5	棕色陶瓦
63	2	315913	5	绿色陶瓦
64	2	315914	5	红色陶瓦
65	2	315915	5	黑色陶瓦
66	2	325100	5	白色混凝土
67	2	325101	5	橙色混凝土
68	2	325102	5	品红色混凝土
69	2	325103	5	浅蓝色混凝土
70	2	325104	5	黄色混凝土
71	2	325105	5	浅绿色混凝土
72	2	325106	5	粉色混凝土
73	2	325107	5	灰色混凝土
74	2	325108	5	浅灰色混凝土
75	2	325109	5	青色混凝土
76	2	325110	5	紫色混凝土
77	2	325111	5	蓝色混凝土
78	2	325112	5	棕色混凝土
79	2	325113	5	绿色混凝土
80	2	325114	5	红色混凝土
81	2	325115	5	黑色混凝土
82	2	304403	5	鹅卵石板
83	2	304404	5	砖板
84	2	304405	5	石砖板
85	2	304406	5	暗砖板
86	2	304401	5	砂石板
87	2	312600	5	单层橡木板
88	2	312601	5	单层云杉木板
89	2	312602	5	单层桦树木板
90	2	312603	5	单层丛林木板
91	2	312604	5	单层金合欢木板
92	2	312605	5	单层暗橡木板
93	2	306700	5	鹅卵石楼梯
94	2	310800	5	砖块楼梯
95	2	310900	5	石砖楼梯
