Id	IsCompel	ResetId	SkipId	TriggerId	EventId	CompleteId	Lv	IndieType
引导ID	是否强制	中断引导（如果在该引导处中断，之前会回到什么引导处，填引导ID）	跳过引导（不跳过：-1；跳过不指定：0；跳过指定：引导id）	触发条件	事件	完成条件	等级（默认0)	游戏类型（0：通用；1：分包；2：像素）
Id	IsCompel	ResetId	SkipId	TriggerId	EventId	CompleteId	Lv	IndieType
110	1	110	-1	1100	110	0	1	0
111	1	111	-1	1110	111	0	1	0
120	1	120	-1	1200	120	1201	1	0
121	1	120	-1	1210	121	0	1	0
122	1	120	-1	1220	122	1221	1	0
123	1	120	-1	1230	123	1231	1	0
130	1	130	-1	1300	130	0	1	0
131	1	130	-1	1310	131	0	1	0
140	1	140	-1	1400	140	1401	1	0
141	1	140	-1	1410	141	0	1	0
142	1	140	-1	1420	142	1421	1	0
143	1	140	-1	1430	143	1431	1	0
144	1	140	-1	1440	144	1441	1	0
145	1	140	-1	1450	145	1451	1	0
146	1	140	-1	1460	146	0	1	0
193	1	196	-1	1930	193	0	2	0
194	1	196	-1	1940	194	1941	2	0
195	1	196	-1	1950	195	1951	2	0
196	1	196	-1	1960	196	0	2	0
								0
