	ItemId	Icon	Name	MeshName	RenderType
中文备注	手持道具Id(2801~2900)	对应Item图标	多语言名称	模型	渲染类别0方块1纹理4模型
玫瑰1	2801	g1047_prop_1	decoration_name_3100001	magazine.mesh	4
玫瑰2	2802	g1047_prop_2	decoration_name_1100002	magazine.mesh	4
玫瑰3	2803	g1047_prop_3	decoration_name_1212003	magazine.mesh	4
玫瑰4	2804	g1047_prop_4	decoration_name_1213004	magazine.mesh	4
玫瑰5	2805	g1047_prop_5	decoration_name_1100005	magazine.mesh	4
玫瑰6	2806	g1047_prop_7	decoration_name_3200006	magazine.mesh	4
玫瑰7	2807	g1047_prop_8	decoration_name_1212007	magazine.mesh	4
玫瑰8	2808	g1047_prop_9	decoration_name_3200008	magazine.mesh	4
玫瑰9	2809	g1047_prop_10	decoration_name_3200009	magazine.mesh	4
玫瑰10	2810	g1047_prop_11	decoration_name_3200010	magazine.mesh	4
