索引	商店ID	最小位置x	最小位置	最小位置	最大位置	最大位置	最大位置	商店名称	注释
id	StoreId	x1	y1	z1	x2	y2	z2	ShopClassify	ps
1	101001	-745	33	-212	-732	38	-207	车	超市一层左
2	101001	-735	33	-223	-730	38	-214	车	超市一层左
3	101001	-724	33	-217	-719	38	-210	车	超市一层左
4	101002	-745	33	-251	-732	38	-246	车	超市一层右
5	101002	-735	33	-244	-730	38	-235	车	超市一层右
6	101002	-724	33	-248	-719	38	-241	车	超市一层右
7	101003	-745	43	-212	-732	38	-207	翅膀	超市二层左
8	101003	-735	43	-223	-730	38	-214	翅膀	超市二层左
9	101003	-724	43	-217	-719	38	-210	翅膀	超市二层左
10	101004	-745	43	-251	-732	38	-246	翅膀	超市二层右
11	101004	-735	43	-244	-730	38	-235	翅膀	超市二层右
12	101004	-724	43	-248	-719	38	-241	翅膀	超市二层右
13	101005	-745	52	-212	-732	38	-207	枪	超市三层左
14	101005	-735	52	-223	-730	38	-214	枪	超市三层左
15	101005	-724	52	-217	-719	38	-210	枪	超市三层左
16	101006	-745	52	-251	-732	38	-246	枪	超市三层右
17	101006	-735	52	-244	-730	38	-235	枪	超市三层右
18	101006	-724	52	-248	-719	38	-241	枪	超市三层右
