序号	名称	分类（1是方块，2是装饰，3是图纸）	图片	物品Id	物品子Id	所属组	权重	备注	数量
number	name	type	image	itemId	itemId2	pool	weights	remark	sum
1	石头	1	set:hidden.json image:box_half_open	1	0	1	1	石头	10
2	草方块	1	set:hidden.json image:box_close	2	0	1	1	草方块	10
3	泥土	1	set:hidden.json image:box_open	3	0	1	1	泥土	10
4	橡树木	1	set:hidden.json image:stick	5	0	1	1	橡树木	10
5	沙子	1	set:hidden.json image:stick	12	0	1	1	沙子	10
6	红沙	1	set:hidden.json image:desk	12	1	1	1	红沙	10
7	花岗岩	1	set:hidden.json image:table	1	1	1	1	花岗岩	9
8	闪长岩	1	set:hidden.json image:gift	1	3	1	1	闪长岩	9
9	安山岩	1	set:hidden.json image:sack	1	5	1	1	安山岩	9
10	橡木板	1	set:hidden.json image:sofa	5	0	1	1	橡木板	9
11	云杉木板	1	set:hidden.json image:tv	5	1	1	1	云杉木板	9
12	桦树木板	1	set:hidden.json image:barrel01	5	2	1	1	桦树木板	9
13	丛林木板	1	set:hidden.json image:bonfire01	5	3	1	1	丛林木板	9
14	金合欢木板	1	set:hidden.json image:carton01	5	4	1	1	金合欢木板	9
15	暗橡木板	1	set:hidden.json image:cask02	5	5	1	1	暗橡木板	9
16	玻璃	1	set:hidden.json image:kennel01	20	0	1	1	玻璃	9
17	玻璃	1	set:hidden.json image:snowmanbattle_blue	20	0	1	1	玻璃	9
18	砂石	1	set:hidden.json image:snowmanbattle_red	24	0	1	1	砂石	9
19	打磨花岗岩	1	set:hidden.json image:streetlight01	1	2	1	1	打磨花岗岩	8
20	打磨闪长岩	1	set:hidden.json image:tree01	1	4	1	1	打磨闪长岩	8
21	打磨安山岩	1	set:hidden.json image:coke	1	6	1	1	打磨安山岩	8
22	橡树叶	1	set:hidden.json image:pc	18	0	1	1	橡树叶	8
23	云杉树叶	1	set:hidden.json image:cup	18	1	1	1	云杉树叶	8
24	桦树叶	1	set:hidden.json image:phone	18	2	1	1	桦树叶	8
25	丛林树叶	1	set:hidden.json image:sock_01	18	3	1	1	丛林树叶	8
26	雕刻砂石	1	set:hidden.json image:sock_03	24	1	1	1	雕刻砂石	8
27	光滑砂石	1	set:hidden.json image:sock_02	24	2	1	1	光滑砂石	8
28	云杉木	1	set:hidden.json image:box_half_open	17	1	2	1	云杉木	10
29	桦树木	1	set:hidden.json image:box_half_open	17	2	2	1	桦树木	10
30	丛林木	1	set:hidden.json image:box_half_open	17	3	2	1	丛林木	10
31	金合欢树	1	set:hidden.json image:box_half_open	17	4	2	1	金合欢树	10
32	暗橡树木	1	set:hidden.json image:box_half_open	17	5	2	1	暗橡树木	10
33	雪	1	set:hidden.json image:box_half_open	78	0	2	1	雪	10
34	白色羊毛	1	set:hidden.json image:box_half_open	35	0	2	1	白色羊毛	9
35	橙色羊毛	1	set:hidden.json image:box_half_open	35	1	2	1	橙色羊毛	9
36	品红色羊毛	1	set:hidden.json image:box_half_open	35	2	2	1	品红色羊毛	9
37	浅蓝色羊毛	1	set:hidden.json image:box_half_open	35	3	2	1	浅蓝色羊毛	9
38	黄色羊毛	1	set:hidden.json image:box_half_open	35	4	2	1	黄色羊毛	9
39	浅绿色羊毛	1	set:hidden.json image:box_half_open	35	5	2	1	浅绿色羊毛	9
40	粉色羊毛	1	set:hidden.json image:box_half_open	35	6	2	1	粉色羊毛	9
41	灰色羊毛	1	set:hidden.json image:box_half_open	35	7	2	1	灰色羊毛	9
42	浅灰色羊毛	1	set:hidden.json image:box_half_open	35	8	2	1	浅灰色羊毛	9
43	青色羊毛	1	set:hidden.json image:box_half_open	35	9	2	1	青色羊毛	9
44	紫色羊毛	1	set:hidden.json image:box_half_open	35	10	2	1	紫色羊毛	9
45	蓝色羊毛	1	set:hidden.json image:box_half_open	35	11	2	1	蓝色羊毛	9
46	棕色羊毛	1	set:hidden.json image:box_half_open	35	12	2	1	棕色羊毛	9
