领地id	领地范围开始坐标x	领地范围开始坐标y	领地范围开始坐标z	领地范围终点坐标x	领地范围终点坐标y	领地范围终点坐标z	传送进入领地坐标x	传送进入领地坐标y	传送进入领地坐标z	传入领地的朝向	朝向(0,90,180,270)	领地的开始相对坐标x	领地的开始相对坐标y	领地的开始相对坐标z	名字显示坐标x	名字显示坐标y	名字显示坐标z
id	x1	y1	z1	x2	y2	z2	initPosX	initPosY	initPosZ	initYaw	orientation	rx	ry	rz	nameX	nameY	nameZ
1	223	78	85	174	128	36	199	79	88	0	0	174	78	36	199	83	88
2	353	78	85	304	128	36	329	79	88	0	0	304	78	36	329	83	88
3	483	78	85	434	128	36	459	79	88	0	0	434	78	36	459	83	88
4	546	78	197	595	128	148	544	79	173	270	270	595	78	148	544	83	173
5	546	78	327	595	128	278	544	79	303	270	270	595	78	278	544	83	303
6	546	78	457	595	128	408	544	79	433	270	270	595	78	408	544	83	433
7	434	78	520	483	128	569	459	79	518	180	180	483	78	569	459	83	518
8	304	78	520	353	128	569	329	79	518	180	180	353	78	569	329	83	518
9	174	78	520	223	128	569	199	79	518	180	180	223	78	569	199	83	518
10	111	78	408	62	128	457	114	79	433	90	90	62	78	457	114	83	433
11	111	78	278	62	128	327	114	79	303	90	90	62	78	327	114	83	303
12	111	78	148	2	128	197	114	79	173	90	90	2	78	197	114	83	173
