id	备注(不能为空)	按钮显示的内容	Npc头上的名字	模型	x坐标	y坐标	z坐标	npc的朝向方位	显示的标题(#为空)	需要显示的消息(#来用分页)
id	note	sureContent	name	actor	x	y	z	yaw	title	message
1	土地经理-领取领地	gui_dialog_tip_btn_sure	npc_name_2	npc100.actor	-744	34	-308	10	npc_name_2	npc_territory_receive_1#npc_territory_receive_2
2	老练探险家-探险入口	gui_dialog_tip_btn_sure	npc_name_3	npc101.actor	-742	34	-308	20	npc_name_3	npc_adventure_1#npc_adventure_2#npc_adventure_3
3	艾米-传送提示	gui_dialog_tip_btn_sure	npc_name_4	npc14.actor	-740	34	-308	30	npc_name_4	npc_transfer_1#npc_transfer_2
4	布蕾安娜-种植提示	gui_dialog_tip_btn_sure	npc_name_5	npc14.actor	-738	34	-308	40	npc_name_5	npc_planting_tips_1#npc_planting_tips_2
5	卡瑟琳-工厂提示	gui_dialog_tip_btn_sure	npc_name_6	npc14.actor	-736	34	-308	50	npc_name_6	npc_building_tips_1#npc_building_tips_2#npc_building_tips_3
6	黛安娜-订单提示	gui_dialog_tip_btn_sure	npc_name_7	npc14.actor	-734	34	-308	60	npc_name_7	npc_order_tips_1#npc_order_tips_2
7	埃琳娜-成就提示	gui_dialog_tip_btn_sure	npc_name_8	npc14.actor	-732	34	-308	70	npc_name_8	npc_achievement_tips_1#npc_achievement_tips_2
8	范妮-好友互赠提示	gui_dialog_tip_btn_sure	npc_name_9	npc14.actor	-730	34	-308	80	npc_name_9	npc_friend_tips_1#npc_friend_tips_2#npc_friend_tips_3
9	吉莉-改造提示	gui_dialog_tip_btn_sure	npc_name_10	npc14.actor	-728	34	-308	90	npc_name_10	npc_transformation_tips_1#npc_transformation_tips_2#npc_transformation_tips_3
10	安德森-故事1	gui_dialog_tip_btn_sure	npc_name_11	npc20.actor	-726	34	-308	100	npc_name_11	npc_story_tips_1#npc_story_tips_2
11	海莉-故事2	gui_dialog_tip_btn_sure	npc_name_12	npc14.actor	-724	34	-308	110	npc_name_12	npc_story_tips_3#npc_story_tips_4
12	克拉克-故事3-高处	gui_dialog_tip_btn_sure	npc_name_13	npc05.actor	-722	34	-308	120	npc_name_13	npc_story_tips_5#npc_story_tips_6
13	凯莉-故事-门童	gui_dialog_tip_btn_sure	npc_name_14	npc14.actor	-720	34	-308	130	npc_name_14	npc_story_tips_7#npc_story_tips_8
14	梅根-故事-门童2	gui_dialog_tip_btn_sure	npc_name_15	npc14.actor	-718	34	-308	140	npc_name_15	npc_story_tips_9
15	诺拉-故事-情侣a组	gui_dialog_tip_btn_sure	npc_name_16	npc14.actor	-716	34	-308	150	npc_name_16	npc_story_tips_10#npc_story_tips_11#npc_story_tips_12
16	丽塔-故事-情侣a组	gui_dialog_tip_btn_sure	npc_name_17	npc14.actor	-714	34	-308	160	npc_name_17	npc_story_tips_13#npc_story_tips_14
17	年轻的探险家-探险入口	gui_dialog_tip_btn_sure	npc_name_18	npc101.actor	-712	34	-308	170	npc_name_18	npc_story_tips_15
