Id	Type	PosStart	PosEnd	Remark
条件Id	类型	起点坐标	终点坐标	参数
Id	Type	PosStart	PosEnd	Remark
1100	3	#	#	#
1110	4	#	#	110
1200	4	#	#	111
1210	4	#	#	120
1220	4	#	#	121
1230	4	#	#	122
1240	4	#	#	123
1250	4	#	#	124
1260	4	#	#	125
1270	4	#	#	126
1280	4	#	#	127
1290	4	#	#	128
2200	4	#	#	129
1300	4	#	#	220
1310	4	#	#	130
1320	4	#	#	131
1330	4	#	#	132
1340	4	#	#	133
1350	4	#	#	134
1400	4	#	#	135
1410	4	#	#	140
1420	4	#	#	141
1430	4	#	#	142
1500	4	#	#	143
1510	4	#	#	150
1520	4	#	#	151
1530	4	#	#	152
1201	2	{{1,-282},{0,45}}	#	100
1221	2	{{0.735156,0},{0.676389, 0}}	#	170
1241	2	{{0.0960938,0},{0.390278, 0}} 	#	100
1261	2	{{0.0960938,0},{0.520834, 0}}	#	100
1281	2	{{1,-178},{0,63}}	#	68
2201	2	{{1,-178},{0,63}}	#	68
1311	2	{{1,-178},{0,63}}	#	68
1321	2	{{1,-178},{0,63}}	#	68
1331	2	{{1,-178},{0,63}}	#	68
1351	2	{{1,-178},{0,63}}	#	68
1411	2	{{1,-178},{0,63}}	#	68
1431	2	{{1,-178},{0,63}}	#	68
1511	2	{{1,-178},{0,63}}	#	68
1531	2	{{1,-178},{0,63}}	#	68
