Id	Type	Pos	Remark
事件Id	类型	坐标	控件特效
Id	Type	Pos	Remark
110	2	24.5#1#28.5	#
111	6	#	dialog_17#dialog_1#dialog_2
120	3	0.3#0.3	guide3.effect
121	6	#	dialog_3
122	3	0.3#0.3	guide3.effect
123	6	#	dialog_4#dialog_5
124	3	0.3#0.3	guide3.effect
125	6	#	dialog_6#dialog_7
126	3	0.3#0.3	guide3.effect
127	6	#	dialog_8
128	3	0.3#0.3	guide3.effect
129	6	#	dialog_9
220	3	0.3#0.3	guide3.effect
130	6	#	dialog_10
131	3	0.3#0.3	guide3.effect
132	3	0.3#0.3	guide3.effect
133	3	0.3#0.3	guide3.effect
134	6	#	dialog_11
135	3	0.3#0.3	guide3.effect
140	6	#	dialog_12
141	3	0.3#0.3	guide3.effect
142	6	#	dialog_13
143	3	0.3#0.3	guide3.effect
150	6	#	dialog_14
151	3	0.3#0.3	guide3.effect
152	6	#	dialog_15#dialog_16
153	3	0.3#0.3	guide3.effect
