Id	IsCompel	ResetId	SkipId	TriggerId	EventId	CompleteId	Lv	IndieType
引导ID	是否强制	中断引导（如果在该引导处中断，之前会回到什么引导处，填引导ID）	跳过引导（不跳过：-1；跳过不指定：0；跳过指定：引导id）	触发条件	事件	完成条件	等级（默认0)	游戏类型（0：通用；1：分包；2：像素）
Id	IsCompel	ResetId	SkipId	TriggerId	EventId	CompleteId	Lv	IndieType
110	1	110	-1	1100	110	0	1	0
111	1	120	-1	1110	111	0	1	0
120	1	120	-1	1200	120	1201	1	0
121	1	120	-1	1210	121	0	1	0
122	1	120	-1	1220	122	1221	1	0
123	1	120	-1	1230	123	0	1	0
124	1	120	-1	1240	124	1241	1	0
125	1	120	-1	1250	125	0	1	0
126	1	120	-1	1260	126	1261	1	0
127	1	130	-1	1270	127	0	1	0
128	1	130	-1	1280	128	1281	1	0
129	1	130	-1	1290	129	0	1	0
220	1	130	-1	2200	220	2201	1	0
130	1	130	-1	1300	130	0	1	0
131	1	130	-1	1310	131	1311	1	0
132	1	130	-1	1320	132	1321	1	0
133	1	130	-1	1330	133	1331	1	0
134	1	130	-1	1340	134	0	1	0
135	1	130	-1	1350	135	1351	1	0
140	1	140	-1	1400	140	0	1	0
141	1	140	-1	1410	141	1411	1	0
142	1	140	-1	1420	142	0	1	0
143	1	140	-1	1430	143	1431	1	0
150	1	150	-1	1500	150	0	1	0
151	1	150	-1	1510	151	1511	1	0
152	1	150	-1	1520	152	0	1	0
153	1	150	-1	1530	153	1531	1	0
